GOI_ID	GOI_SYMBOL	TOI_IDS
ENSG00000171456	ASXL1	ENST00000375687
ENSG00000245848	CEBPA	ENST00000498907
ENSG00000119772	DNMT3A	ENST00000321117
ENSG00000122025	FLT3	ENST00000241453
ENSG00000138413	IDH1	ENST00000345146
ENSG00000182054	IDH2	ENST00000330062
ENSG00000157404	KIT	ENST00000288135
ENSG00000181163	NPM1	ENST00000296930
ENSG00000213281	NRAS	ENST00000369535
ENSG00000159216	RUNX1	ENST00000675419
ENSG00000168769	TET2	ENST00000380013
ENSG00000141510	TP53	ENST00000269305
ENSG00000184937	WT1	ENST00000452863
ENSG00000161547	SRSF2	ENST00000359995
ENSG00000115524	SF3B1	ENST00000335508
ENSG00000160201	U2AF1	ENST00000291552
ENSG00000183337	BCOR	ENST00000378444
ENSG00000101972	STAG2	ENST00000371145
ENSG00000169249	ZRSR2	ENST00000307771
ENSG00000106462	EZH2	ENST00000320356
