transcript_id	consequence	start	end	annotation	gene
ENST00000375687.10		1720	4626	Hotspot	ASXL1
ENST00000498907.3		814	1077	Hotspot	CEBPA
ENST00000321117.10		2644	2646	Hotspot	DNMT3A
ENST00000320356.7		280	477	Hotspot	EZH2
ENST00000320356.7		652	999	Hotspot	EZH2
ENST00000320356.7		1507	1851	Hotspot	EZH2
ENST00000320356.7		1852	2253	Hotspot	EZH2
ENST00000241453.12		2503	2508	Hotspot	FLT3
ENST00000345146.7		394	396	Hotspot	IDH1
ENST00000330062.8		418	420	Hotspot	IDH2
ENST00000330062.8		514	516	Hotspot	IDH2
ENST00000288135.6		1246	1257	Hotspot	KIT
ENST00000288135.6		2446	2448	Hotspot	KIT
ENST00000296930.10		862	864	Hotspot	NPM1
ENST00000369535.5		34	39	Hotspot	NRAS
ENST00000369535.5		181	183	Hotspot	NRAS
ENST00000675419.1		229	612	Hotspot	RUNX1
ENST00000335508.11		1720	2370	Hotspot	SF3B1
ENST00000359995.10		283	285	Hotspot	SRSF2
ENST00000371145.8		646	648	Hotspot	STAG2
ENST00000380013.9		3310	4443	Hotspot	TET2
ENST00000380013.9		5527	6009	Hotspot	TET2
ENST00000269305.9		742	744	Hotspot	TP53
ENST00000291552.9		100	102	Hotspot	U2AF1
ENST00000291552.9		469	471	Hotspot	U2AF1
ENST00000452863.10		1114	1263	Hotspot	WT1
ENST00000452863.10		1357	1446	Hotspot	WT1
