gene_name	transcript_id	consequence	start	end	frame	annotation
NPM1	ENST00000296930.10	frameshift_variant	860	875	1	pathogenic
NPM1	ENST00000296930.10					discard
FLT3	ENST00000241453.12	missense_variant	2491	2526		likely pathogenic (FLT3-TKD)
FLT3	ENST00000241453.12	inframe_insertion	2491	2526		likely pathogenic (FLT3-TKD)
FLT3	ENST00000241453.12	inframe_deletion	2491	2526		likely pathogenic (FLT3-TKD)
FLT3	ENST00000241453.12	inframe_insertion	1705	1942		likely pathogenic (FLT3-ITD)
FLT3	ENST00000241453.12					discard
CEBPA	ENST00000498907.3	inframe_deletion	814	1077		pathogenic (bZIP inframe)
CEBPA	ENST00000498907.3	inframe_insertion	814	1077		pathogenic (bZIP inframe)
ASXL1	ENST00000375687.10	stop_gained	1720	4626		pathogenic
ASXL1	ENST00000375687.10	frameshift_variant	1720	4626		pathogenic
ASXL1	ENST00000375687.10					discard
BCOR	ENST00000378444.9	frameshift_variant				pathogenic
BCOR	ENST00000378444.9	stop_gained				pathogenic
BCOR	ENST00000378444.9	stop_lost				pathogenic
EZH2	ENST00000320356.7	missense_variant	280	477		possible pathogenic (D1)
EZH2	ENST00000320356.7	inframe_deletion	280	477		possible pathogenic (D1)
EZH2	ENST00000320356.7	inframe_insertion	280	477		possible pathogenic (D1)
EZH2	ENST00000320356.7	missense_variant	652	999		possible pathogenic (D2)
EZH2	ENST00000320356.7	inframe_deletion	652	999		possible pathogenic (D2)
EZH2	ENST00000320356.7	inframe_insertion	652	999		possible pathogenic (D2)
EZH2	ENST00000320356.7	missense_variant	1507	1851		possible pathogenic (CXC)
EZH2	ENST00000320356.7	inframe_deletion	1507	1851		possible pathogenic (CXC)
EZH2	ENST00000320356.7	inframe_insertion	1507	1851		possible pathogenic (CXC)
EZH2	ENST00000320356.7	missense_variant	1852	2253		possible pathogenic (SET)
EZH2	ENST00000320356.7	inframe_deletion	1852	2253		possible pathogenic (SET)
EZH2	ENST00000320356.7	inframe_insertion	1852	2253		possible pathogenic (SET)
EZH2	ENST00000320356.7	frameshift				pathogenic
EZH2	ENST00000320356.7	stop_gained				pathogenic
EZH2	ENST00000320356.7	stop_lost				pathogenic
RUNX1	ENST00000675419.1	frameshift_variant				pathogenic
RUNX1	ENST00000675419.1	start_lost				pathogenic
RUNX1	ENST00000675419.1	stop_gained				pathogenic
RUNX1	ENST00000675419.1	stop_lost				pathogenic
RUNX1	ENST00000675419.1	splice_acceptor_variant				pathogenic
RUNX1	ENST00000675419.1	splice_donor_variant				pathogenic
RUNX1	ENST00000675419.1	missense_variant	230	613		possible pathogenic (RUNT)
RUNX1	ENST00000675419.1	inframe_insertion	230	613		possible pathogenic (RUNT)
RUNX1	ENST00000675419.1	inframe_deletion	230	613		possible pathogenic (RUNT)
RUNX1b	ENST00000344691.8		533-2	724+2		possible pathogenic (alt exon 4)
SF3B1	ENST00000335508.11	missense_variant	1720	2370		possible pathogenic (HEAT)
SF3B1	ENST00000335508.11	inframe_insertion	1720	2370		possible pathogenic (HEAT)
SF3B1	ENST00000335508.11	inframe_deletion	1720	2370		possible pathogenic (HEAT)
SF3B1	ENST00000335508.11	frameshift_variant				discard
SF3B1	ENST00000335508.11	stop_gained				discard
SF3B1	ENST00000335508.11	stop_lost				discard
SRSF2	ENST00000359995.10	missense_variant	283	284		pathogenic
SRSF2	ENST00000359995.10	inframe_insertion	283	284		pathogenic
SRSF2	ENST00000359995.10	inframe_deletion	283	284		pathogenic
SRSF2	ENST00000359995.10					discard
STAG2	ENST00000371145.8	frameshift_variant				pathogenic
STAG2	ENST00000371145.8	start_lost				pathogenic
STAG2	ENST00000371145.8	stop_gained				pathogenic
STAG2	ENST00000371145.8	stop_lost				pathogenic
STAG2	ENST00000371145.8	splice_acceptor_variant				pathogenic
STAG2	ENST00000371145.8	splice_donor_variant				pathogenic
U2AF1	ENST00000291552.9	missense_variant	100	105		possible pathogenic
U2AF1	ENST00000291552.9	inframe_insertion	100	105		possible pathogenic
U2AF1	ENST00000291552.9	inframe_deletion	100	105		possible pathogenic
U2AF1	ENST00000291552.9	missense_variant	466	477		possible pathogenic
U2AF1	ENST00000291552.9	inframe_insertion	466	477		possible pathogenic
U2AF1	ENST00000291552.9	inframe_deletion	466	477		possible pathogenic
U2AF1	ENST00000291552.9					discard
ZRSR2	ENST00000307771.8	frameshift_variant				pathogenic
ZRSR2	ENST00000307771.8	start_lost				pathogenic
ZRSR2	ENST00000307771.8	stop_gained				pathogenic
ZRSR2	ENST00000307771.8	stop_lost				pathogenic
ZRSR2	ENST00000307771.8	splice_acceptor_variant				pathogenic
ZRSR2	ENST00000307771.8	splice_donor_variant				pathogenic
TP53	ENST00000269305.9	frameshift_variant				pathogenic
TP53	ENST00000269305.9	start_lost				pathogenic
TP53	ENST00000269305.9	stop_gained				pathogenic
TP53	ENST00000269305.9	stop_lost				pathogenic
TP53	ENST00000269305.9	missense_variant	742	744		pathogenic
TP53	ENST00000269305.9	missense				possible pathogenic
TP53	ENST00000269305.9	inframe_insertion				possible pathogenic
TP53	ENST00000269305.9	inframe_deletion				possible pathogenic
TP53g	ENST00000455263.6		994-2	*2		possible pathogenic  (alt exon 10 gamma)
TP53b	ENST00000420246.6		994-2	*2		possible pathogenic (alt exon 10 beta)
NRAS	ENST00000369535.5	missense_variant	34	39		pathogenic
NRAS	ENST00000369535.5	inframe_insertion	34	39		possible pathogenic
NRAS	ENST00000369535.5	inframe_deletion	34	39		possible pathogenic
NRAS	ENST00000369535.5	missense_variant	181	183		pathogenic
NRAS	ENST00000369535.5	inframe_insertion	181	183		possible pathogenic
NRAS	ENST00000369535.5	inframe_deletion	181	183		possible pathogenic
NRAS	ENST00000369535.5	frameshift_variant				discard
NRAS	ENST00000369535.5	stop_gained				discard
NRAS	ENST00000369535.5	stop_lost				discard
KRAS	ENST00000256078.10	missense_variant	1	290		possible pathogenic
KRAS	ENST00000256078.10	inframe_insertion	1	290		possible pathogenic
KRAS	ENST00000256078.10	inframe_deletion	1	290		possible pathogenic
KRAS	ENST00000256078.10	frameshift_variant				discard
KRAS	ENST00000256078.10	stop_gained				discard
KRAS	ENST00000256078.10	stop_lost				discard
DDX41	ENST00000330503.12	missense_variant	1291	1701		likely pathogenic
KIT	ENST00000288135.6	inframe_deletion	1246	1257		pathogenic
KIT	ENST00000288135.6	inframe_insertion	1246	1257		pathogenic
KIT	ENST00000288135.6	missense_variant	2447	2449		pathogenic
KIT	ENST00000288135.6	missense_variant	2465	2467		pathogenic
KIT	ENST00000288135.6	frameshift_variant				discard
KIT	ENST00000288135.6	stop_gained				discard
KIT	ENST00000288135.6	stop_lost				discard
BRAF	ENST00000646891.2	missense_variant	1768	1845		possible pathogenic
BRAF	ENST00000646891.2	inframe_deletion	1768	1845		possible pathogenic
BRAF	ENST00000646891.2	inframe_insertion	1768	1845		possible pathogenic
BRAF	ENST00000646891.2					discard
CALR	ENST00000316448.10	frameshift_variant	1090	1110	2	pathogenic (type-1 (like)
CALR	ENST00000316448.10	frameshift_variant	1141	1251	2	pathogenic (type-2 (like)
CALR	ENST00000316448.10	frameshift_variant	1111	1140	2	pathogenic (other)
CALR	ENST00000316448.10					discard
CBL	ENST00000264033.6		1096-2	1431+2		possible pathogenic (RING fingers)
CSF3R	ENST00000373103.5	frameshift_variant	2041	2592		pathogenic (exon 17 truncating)
CSF3R	ENST00000373103.5	stop_gained	2041	2592		pathogenic (exon 17 truncating)
CSF3R	ENST00000373103.5	stop_lost	2041	2592		pathogenic (exon 17 truncating)
CSF3R	ENST00000373103.5	missense_variant	1724	1864		possible pahtogenic (exon 14 activating)
CSF3R	ENST00000373103.5		1724	1864		possible pathogenic
CSF3R	ENST00000373103.5					discard
DNMT3A	ENST00000321117.10	missense_variant	2644	2645		pathogenic
